City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,chokurdakh,70.6333,147.9167,-29.87,99,45,1.42,RU,2023-04-11
222,salalah,17.0151,54.0924,29.05,70,0,2.57,OM,2023-04-11
223,durango,24.8333,-104.8333,20.35,39,1,3.8,MX,2023-04-11
224,ancud,-41.8697,-73.8203,13.18,97,100,1.0,CL,2023-04-11
225,shingu,33.7333,135.9833,14.26,87,100,2.17,JP,2023-04-11
226,venado tuerto,-33.7456,-61.9688,29.31,33,92,4.41,AR,2023-04-11
227,nome,64.5011,-165.4064,-24.91,76,0,0.0,US,2023-04-11
228,stabat,3.761,98.4513,26.11,91,36,0.62,ID,2023-04-11
229,flin flon,54.7682,-101.865,6.91,49,100,4.12,CA,2023-04-11
230,adrar,20.5022,-10.0711,29.92,30,89,4.1,MR,2023-04-11
231,lompoc,34.6391,-120.4579,19.91,83,100,4.92,US,2023-04-11
232,hinganghat,20.5667,78.8333,34.32,21,35,0.65,IN,2023-04-11
233,mazagao,-0.115,-51.2894,30.03,61,81,2.11,BR,2023-04-11
234,frankfort,-27.2667,28.4833,11.16,28,0,2.81,ZA,2023-04-11
235,medvedka,61.1629,46.387,0.64,98,81,0.72,RU,2023-04-11
236,honiara,-9.4333,159.95,25.24,86,98,1.36,SB,2023-04-11
237,le pont-de-claix,45.1244,5.7064,14.23,80,100,0.98,FR,2023-04-11
238,emerald,-23.5333,148.1667,18.82,36,12,3.77,AU,2023-04-11
239,tenenkou,14.4572,-4.9169,36.99,14,59,5.68,ML,2023-04-11
240,brigantine,39.4101,-74.3646,22.11,49,0,8.05,US,2023-04-11
241,lundazi,-12.2929,33.1782,18.8,93,92,1.6,ZM,2023-04-11
242,muravlenko,63.7898,74.523,-24.19,99,16,2.9,RU,2023-04-11
243,puerto leguizamo,-0.1934,-74.7819,29.31,69,50,1.51,CO,2023-04-11
244,bosobolo,4.1833,19.9,22.57,90,100,1.37,CD,2023-04-11
245,banda aceh,5.5577,95.3222,26.74,81,76,2.28,ID,2023-04-11
246,mahebourg,-20.4081,57.7,25.7,88,40,1.54,MU,2023-04-11
247,waverly,42.7392,-84.6208,22.19,35,0,9.26,US,2023-04-11
248,rio grande,-32.035,-52.0986,31.06,53,0,3.36,BR,2023-04-11
249,garhakota,23.7667,79.15,29.42,14,29,1.65,IN,2023-04-11
250,noyabrsk,63.1994,75.4507,-22.86,99,15,2.76,RU,2023-04-11
251,sinjai,-5.1241,120.253,24.31,84,15,2.09,ID,2023-04-11
252,beloha,-25.1667,45.05,22.66,88,1,2.86,MG,2023-04-11
253,rokiskis,55.9667,25.5833,9.94,74,94,2.94,LT,2023-04-11
254,husavik,66.0449,-17.3389,3.34,96,96,5.41,IS,2023-04-11
255,dunedin,-45.8742,170.5036,12.78,97,100,3.91,NZ,2023-04-11
256,mananjary,-21.2167,48.3333,24.16,84,0,0.77,MG,2023-04-11
257,padang,-0.9492,100.3543,26.03,89,95,1.54,ID,2023-04-11
258,ponta do sol,32.6667,-17.1,21.35,68,1,2.34,PT,2023-04-11
259,saint-francois,46.4154,3.9054,12.69,63,0,1.03,FR,2023-04-11
260,iqaluit,63.7506,-68.5145,-7.15,73,100,7.72,CA,2023-04-11
261,tuatapere,-46.1333,167.6833,12.28,96,100,2.5,NZ,2023-04-11
262,xiashi,30.5363,120.6864,19.01,63,99,1.82,CN,2023-04-11
263,auki,-8.7676,160.7034,24.9,89,100,1.47,SB,2023-04-11
264,tura,25.5198,90.2201,23.44,19,0,1.76,IN,2023-04-11
265,longyearbyen,78.2186,15.6401,-3.09,86,75,1.54,SJ,2023-04-11
266,kruisfontein,-34.0033,24.7314,13.27,66,100,3.65,ZA,2023-04-11
267,boke,10.9409,-14.2967,32.05,44,40,2.63,GN,2023-04-11
268,ibra,22.6906,58.5334,26.96,44,100,7.36,OM,2023-04-11
269,acapulco,16.8634,-99.8901,31.21,53,3,4.38,MX,2023-04-11
270,teguise,29.0605,-13.564,19.12,83,0,6.17,ES,2023-04-11
271,rognedino,53.8015,33.5576,10.15,61,89,2.5,RU,2023-04-11
272,nyurba,63.2842,118.3319,-21.08,99,21,1.61,RU,2023-04-11
273,peyima,8.7,-11.0333,23.48,82,77,0.87,SL,2023-04-11
274,warwick,41.7001,-71.4162,25.22,24,75,6.17,US,2023-04-11
275,faanui,-16.4833,-151.75,27.5,73,99,2.71,PF,2023-04-11
276,sambava,-14.2667,50.1667,24.37,92,62,2.06,MG,2023-04-11
277,rousinov,49.2013,16.8822,7.99,80,20,5.14,CZ,2023-04-11
278,alofi,-19.0595,-169.9187,19.94,94,57,1.03,NU,2023-04-11
279,oistins,13.0667,-59.5333,29.05,58,20,8.23,BB,2023-04-11
280,camopi,3.1655,-52.3158,28.63,74,100,1.8,GF,2023-04-11
281,bowen,-20.0167,148.2333,24.54,86,74,0.95,AU,2023-04-11
282,varhaug,58.6147,5.6457,8.25,94,100,2.76,NO,2023-04-11
283,burla,21.5,83.8667,27.41,27,0,1.18,IN,2023-04-11
284,okato,-39.2,173.8833,15.1,99,34,0.89,NZ,2023-04-11
285,sao jose da coroa grande,-8.8978,-35.1478,28.03,64,97,2.8,BR,2023-04-11
286,cockburn town,21.4612,-71.1419,26.01,74,1,3.39,TC,2023-04-11
287,harper,4.375,-7.7169,28.22,78,100,3.85,LR,2023-04-11
288,bubaque,11.2833,-15.8333,25.53,71,6,8.27,GW,2023-04-11
289,jacqueville,5.2052,-4.4146,27.92,82,74,5.2,CI,2023-04-11
290,viedma,-40.8135,-62.9967,16.77,60,86,8.71,AR,2023-04-11
291,mackay,-21.15,149.2,20.93,87,22,2.31,AU,2023-04-11
292,nemuro,43.3236,145.575,5.48,81,100,7.98,JP,2023-04-11
293,sayyan,15.1718,44.3244,18.1,48,94,1.42,YE,2023-04-11
294,sola,-13.8833,167.55,27.95,76,71,4.78,VU,2023-04-11
295,bay city,43.5945,-83.8889,22.06,43,0,7.72,US,2023-04-11
296,klaksvik,62.2266,-6.589,7.51,78,95,0.98,FO,2023-04-11
297,deputatskiy,69.3,139.9,-25.68,100,96,0.75,RU,2023-04-11
298,amahai,-3.3333,128.9167,26.06,85,76,1.55,ID,2023-04-11
299,chuy,-33.6971,-53.4616,28.17,45,34,3.35,UY,2023-04-11
300,atoyac,20.0167,-103.5333,29.5,16,0,1.43,MX,2023-04-11
301,namibe,-15.1961,12.1522,23.64,73,45,5.75,AO,2023-04-11
302,jiexiu,37.0244,111.9125,11.36,20,2,1.1,CN,2023-04-11
303,talnakh,69.4865,88.3972,-29.89,99,93,1.05,RU,2023-04-11
304,cabras,39.93,8.5314,13.42,92,73,1.85,IT,2023-04-11
305,bara,10.3744,10.7288,33.08,13,99,1.57,NG,2023-04-11
306,pundaguitan,6.3711,126.1689,27.82,78,11,2.12,PH,2023-04-11
307,rusape,-18.5278,32.1284,15.5,88,100,0.49,ZW,2023-04-11
308,umm kaddadah,13.6017,26.6876,33.25,9,96,4.54,SD,2023-04-11
309,biak,-0.9131,122.8766,25.11,80,20,1.31,ID,2023-04-11
310,fukue,32.6881,128.8419,17.75,89,100,5.83,JP,2023-04-11
311,barma,8.35,-11.3333,23.77,89,66,1.29,SL,2023-04-11
312,wajir,1.7471,40.0573,30.51,48,100,3.85,KE,2023-04-11
313,pemberton,50.3164,-122.8027,2.83,90,100,1.07,CA,2023-04-11
314,lata,40.1629,-8.3327,17.12,64,77,4.19,PT,2023-04-11
315,den helder,52.9599,4.7593,10.57,78,75,8.94,NL,2023-04-11
316,talcahuano,-36.7167,-73.1167,19.82,73,75,2.57,CL,2023-04-11
317,lazaro cardenas,17.9583,-102.2,30.21,50,11,4.46,MX,2023-04-11
318,salisbury,51.0693,-1.7957,9.14,93,100,10.8,GB,2023-04-11
319,alto araguaia,-17.3147,-53.2153,27.89,61,56,2.62,BR,2023-04-11
320,cuenca,-2.8833,-78.9833,18.07,77,75,1.54,EC,2023-04-11
321,sitka,57.0531,-135.33,3.94,75,20,0.0,US,2023-04-11
322,castro,-24.7911,-50.0119,24.02,46,0,0.46,BR,2023-04-11
323,ahipara,-35.1667,173.1667,17.63,90,93,5.73,NZ,2023-04-11
324,ayan,56.45,138.1667,-8.59,86,83,3.99,RU,2023-04-11
325,the valley,18.217,-63.0578,28.92,74,40,6.17,AI,2023-04-11
326,cayenne,4.9333,-52.3333,31.02,62,75,6.17,GF,2023-04-11
327,carutapera,-1.195,-46.02,28.37,74,54,2.05,BR,2023-04-11
328,zhigansk,66.7697,123.3711,-27.58,97,9,2.54,RU,2023-04-11
329,elizabeth city,36.2946,-76.2511,22.25,38,0,2.68,US,2023-04-11
330,kununurra,-15.7667,128.7333,25.99,94,88,2.06,AU,2023-04-11
331,rozkishne,48.5074,39.3004,14.66,50,99,8.58,UA,2023-04-11
332,parana,-31.732,-60.5238,31.4,56,94,4.34,AR,2023-04-11
333,loei,17.4167,101.5,26.36,46,78,1.76,TH,2023-04-11
334,quatre cocos,-20.2078,57.7625,25.61,84,89,4.76,MU,2023-04-11
335,labrea,-7.2586,-64.7981,31.32,65,64,0.39,BR,2023-04-11
336,soto la marina,23.7667,-98.2167,26.98,54,96,4.18,MX,2023-04-11
337,cidreira,-30.1811,-50.2056,25.4,67,0,5.14,BR,2023-04-11
338,dwarka,22.2394,68.9678,25.93,72,18,3.67,IN,2023-04-11
339,arman,59.7,150.1667,-16.75,82,1,4.05,RU,2023-04-11
340,tupik,54.4253,119.9327,-15.07,88,100,2.14,RU,2023-04-11
341,bilma,18.6853,12.9164,28.72,10,9,7.68,NE,2023-04-11
342,asau,46.4333,26.4,6.51,97,100,3.35,RO,2023-04-11
343,nioro,13.35,-15.75,36.84,17,8,3.27,GM,2023-04-11
344,ozernovskiy,51.5,156.5167,-1.8,78,100,11.17,RU,2023-04-11
345,sorong,-0.8833,131.25,26.92,82,96,1.83,ID,2023-04-11
346,tamara,14.15,-87.3333,25.86,37,20,7.2,HN,2023-04-11
347,guiglo,6.5456,-7.4966,29.21,56,100,1.3,CI,2023-04-11
348,roma,43.2128,-75.4557,20.6,33,100,6.47,US,2023-04-11
